Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
North Fork Sanitation Inc,8475 Cox Lane,,Cutchogue,NY,11935,Suffolk,1,6317347221,Joanne Schelin,Private,Transfer station - permit,[52T63],Yes,709912,4545565,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Concrete;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard;Commingled Paper & Containers;Wood (Unadulterated),Permit,1-4738-00899/00001,09/29/2017,09/28/2022,"8475 Cox Lane
Cutchogue, NY 11935
(41.034102, -72.502964)"
Peconic Recycling & Transfer Corp,560 Commerce Drive,,Cutchogue,NY,11935,Suffolk,1,,Anthony DiVello,Private,Transfer station - permit,[52T120],Yes,709500,4544700,,MSW (Residential/Institutional & Commercial),Permit,1-4738-03697/00001,08/18/2016,08/17/2021,"560 Commerce Drive
Cutchogue, NY 11935
(41.025691, -72.502491)"
Southold Town Transfer Station,6155 Cox Lane,,Cutchogue,NY,11935,Suffolk,1,6317347685,Town of Southold,Municipal,Transfer station - permit,[52T92],Yes,710472,4545365,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Corrugated Cardboard;Waste Oil (Other);Waste Tires;Clean Fill;Metals (Ferrous & Non-Ferrous);Junk Mail;Magazines;Newspaper;Office Paper;Glass;White Goods;Commingled Plastics;Electronics,Permit,1-4738-02967/00001,12/03/2015,12/02/2020,"6155 Cox Lane
Cutchogue, NY 11935
(41.032877, -72.498897)"
Tully Environmental Inc d/b/a Clearbrook,972  Nicolls Road,,Deer Park,NY,11729,Suffolk,1,6315860002,Tully Environmental Inc.,Private,Transfer station - permit,[52T09],Yes,642920,4514486,4.2 - Utilization of GIS and existing spatial data,Sewage Treatment Plant Sludge;Grit;Storm Drain & Catch Basin;Grease Trap Waste;Non-Hazardous Liquid;Non-hazardous Waste,Permit,1-4720-00317/00004,10/16/2015,10/15/2020,"972 Nicolls Road
Deer Park, NY 11729
(40.768947, -73.309092)"
East Hampton Recycling Center,260 Springs Fireplace Road,,East Hampton,NY,11937,Suffolk,1,6313247191,Town of East Hampton,Municipal,Transfer station - permit,[52T91],Yes,738122,4541592,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Newspaper;White Goods;Electronics;Waste Tires,Permit,1-4724-00127/00004,06/23/2015,02/17/2020,"260 Springs Fireplace Road
East Hampton, NY 11937
(40.987904, -72.172333)"
East Northport Landfill,101 Town Line Rd,,East Northport,NY,11731,Suffolk,1,6313513187,Town of Huntington,Municipal,Transfer station - registration,[52R28R],Yes,643495,4527903,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Registration,52R28R,,,"101 Town Line Rd
East Northport, NY 11731
(40.880333, -73.286591)"
NYAR Coastal Distribution Rail Transfer,1633 New Highway,,Farmingdale,NY,11735,Suffolk,1,6317562000,Tunnel Hill; Partners; LP,Private,Transfer station - permit,[52T118],Yes,633927,4511488,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,Permit,1-4720-03667/00001,06/19/2015,06/18/2020,"1633 New Highway
Farmingdale, NY 11735
(40.74469, -73.413806)"
Hampton Bays Transfer Station (Landfill Site),30 Jackson Avenue,,Hampton Bays,NY,11946,Suffolk,1,6317285078,Town of Southampton,Municipal,Transfer station - registration,[52R06R],Yes,707449,4528874,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Yard Waste;Corrugated Cardboard;Commingled Plastics;Electronics;Waste Oil (Other),Registration,52R06R,01/05/1996,,"30 Jackson Avenue
Hampton Bays, NY 11946
(40.889146, -72.539847)"
Islip Multi-Purpose Recycling Facility,1155 Lincoln Avenue,,Holbrook,NY,11741,Suffolk,1,6315953421,Islip Resource Recovery Agency,Municipal,Transfer station - permit,[52M11],Yes,661707,4515955,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,Permit,1-4728-00701-00003,08/18/2016,08/16/2021,"1155 Lincoln Avenue
Holbrook, NY 11741
(40.778479, -73.08386)"
Winters Bros Waste Systems LI LLC Holtsville TS,971 Waverly Ave,,Holtsville,NY,11742,Suffolk,1,5169370900,Progressive Waste Solutions of LI Inc,Private,Transfer station - permit,[52T83],Yes,665082,4519686,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics;Corrugated Cardboard;Commingled Plastics;Wood (Unadulterated Pallets),Permit,1-4722-00699/00002,11/06/2019,11/05/2024,"971 Waverly Ave
Holtsville, NY 11742
(40.812052, -73.044312)"
Lloyd Harbor (Incorporated Village of) ,32 Middle Hollow Road,,Huntington,NY,11743,Suffolk,1,6315498880,Incorporated Village of Lloyd Harbor,Municipal,Transfer station - registration,[52R29R],Yes,629886,4527339,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);White Goods,Registration,52R29R,02/23/2009,,"32 Middle Hollow Road
Huntington, NY 11743
(40.886078, -73.459084)"
Jet Paper Stock Corp TS,228 Blydenburgh Road,,Islandia,NY,11749,Suffolk,1,6312347100,Patricia DiMatteo,Private,Transfer station - permit,[52M07],Yes,653272,4518747,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Corrugated Cardboard;Newspaper;Office Paper;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics,Permit,1-4728-00720/00001,10/31/2019,10/30/2024,"228 Blydenburgh Road
Islandia, NY 11749"
Smithtown Kings Park Facility,300 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6312696600,Town of Smithtown,Municipal,Transfer station - registration,[52W150R],Yes,648667,4525864,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Street Sweepings;Yard Waste,Registration,52W150R,05/10/2010,,"300 Old Northport Road
Kings Park, NY 11754
(40.877243, -73.282608)"
Smithtown Municipal Services Facility,85 Old Northport Rd,,Kings Park,NY,11754,Suffolk,1,6312696600,Town of Smithtown,Municipal,Transfer station - permit,[52M41],Yes,648019,4525386,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps);Construction & Demolition Debris;Yard Waste,Application,1-4734-01810/00002,09/23/2015,09/22/2020,"85 Old Northport Rd
Kings Park, NY 11754
(40.873531, -73.274069)"
Winters Bros. Recycling of LI; Inc. - Kings Park Facility,499 Lawrence Rd.,,Kings Park,NY,11754,Suffolk,1,6313685533,Winters Bros. Recycling of LI; Inc.,Private,Transfer station - permit,[52M09],Yes,647700,4525800,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Office Paper;Metals (Ferrous & Non-Ferrous);Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Waste Tires;Corrugated Cardboard,None,1-4734-00299/00005,01/03/2017,03/09/2020,"499 Lawrence Rd
Kings Park, NY 11754
(40.866897, -73.248039)"
Clear Flo Technologies Inc,1110 A Route 109,,Lindenhurst,NY,11757,Suffolk,1,6319567600,Steve Macchio,Private,Transfer station - permit,[52TP0273],Yes,635100,4508500,,Water (Waste);Grease Trap Waste;Landfill Leachate;Biosolids,Permit,1-4720-02934/00001,11/18/2016,11/17/2021,"1110 A Route
Lindenhurst, NY 11757"
One World Recycling LLC,685 North Queens Avenue,,Lindenhurst,NY,11757,Suffolk,1,6318880600,One World Recycling; LLC,Private,Transfer station - permit,[52M37],Yes,637892,4507314,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Emergency Authorization Waste (Storm Debris);Metals (Ferrous & Non-Ferrous);Wood (Brush/ Branches/ Trees/ Stumps);Concrete,Permit,1-4720-01004/00006,09/19/2016,09/18/2021,"685 North Queens Avenue
Lindenhurst, NY 11757
(40.705213, -73.367475)"
Russell Reid Lindenhurst Waste Transfer Station,660 Muncy Street,,Lindenhurst,NY,11757,Suffolk,1,6315394658,,,Transfer station - permit,[52T125],Yes,639079,4506529,,,Permit,1-4720-04041/00001,08/01/2014,07/31/2019,"660 Muncy Street
Lindenhurst, NY 11757
(40.697484, -73.353787)"
North Sea Landfill & Transfer Station,1370 Majors Path,,North Sea,NY,11968,Suffolk,1,6312835210,Town of Southampton,Municipal,Transfer station - registration,[52R02R],Yes,718244,4532287,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics;Waste Oil (Other);Waste Tires,Registration,52R02R,09/09/1999,,"1370 Majors Path
North Sea, NY 11968
(40.933672, -72.399156)"
Patchogue Municipal Garage (Incorporated Village of),216 Waverly Ave.,,Patchogue,NY,11772,Suffolk,1,6314754300,Village of Patchogue,Municipal,Transfer station - registration,[52R27R],Yes,666433,4515346,4.3 - Utilization of Digital Orthophoto Quads,White Goods;Construction & Demolition Debris;Leaves & Grass;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Yard Waste;Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Registration,52R27R,10/11/2006,,"216 Waverly Ave
Patchogue, NY 11772
(40.772273, -73.027788)"
Waste Sorting Corp,2065 Pond Road,,Ronkonkoma,NY,11779,Suffolk,1,6319811332,Kenneth Goetz,Private,Transfer station - permit,[52T57],Yes,658846,4517530,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Wood (Trees/Stumps);Concrete,Permit,1-4728-00760/00002,02/23/2015,02/22/2020,"2065 Pond Road
Ronkonkoma, NY 11779
(40.793383, -73.117694)"
Sag Harbor Transfer Station,1404 Bridge Hampton-Sag Harbor Turnpike,,Sag Harbor,NY,11963,Suffolk,1,6319253097,Town of Southampton,Municipal,Transfer station - registration,[52R99R],Yes,730753,4540761,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Waste Oil (Automotive);Corrugated Cardboard;Commingled Plastics;Waste Oil (Other),Registration,52R99R,09/09/1994,,"1404 Bridge Hampton-Sag Harbor Turnpike
Sag Harbor, NY 11963
(40.97618, -72.302061)"
Dale Transfer Corp,129 Dale Street,,West Babylon,NY,11704,Suffolk,1,5163511879,Dale Transfer Corp.,Private,Transfer station - permit,[52W126],Yes,635700,4510300,,,Permit,1-4720-03277/00001,10/26/2015,10/26/2020,"129 Dale Street
West Babylon, NY 11704
(40.733009, -73.391208)"
Omni Recycling of Babylon Inc,114 Alder Street,,West Babylon,NY,11704,Suffolk,1,6316941694,Omni Recycling of Babylon Inc,Private,Transfer station - permit,[52M19],Yes,635466,4510228,4.3 - Utilization of Digital Orthophoto Quads,Waste Tires;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Newspaper;Commingled Plastics;Electronics,None,14720-00643/00002-0,,04/14/2001,"114 Alder Street
West Babylon, NY 11704
(40.731886, -73.395643)"
Paragon Recycling & Transfer Corp,35 Dale Steet,,West Babylon,NY,11704,Suffolk,1,6312491639,Paragon Recycling & Transfer Corp,Private,Transfer station - permit,[52T46],Yes,635999,4510103,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Non-Friable);Oil/Gas Drilling Waste;Commingled Paper & Containers;Junk Mail;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Yard Waste;Newspaper,Permit,1-4720-00581/00002,12/16/2016,12/15/2021,"35 Dale
West Babylon, NY 11704
(40.730429, -73.389874)"
Winters Bros Waste Systems LI LLC - 19 Nancy Babylon,19 Nancy Street,,West Babylon,NY,11704,Suffolk,1,6314917270,Winters Bros Waste Systems LI; LLC,Private,Transfer station - permit,[52T51],Yes,637300,4510700,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Asbestos (Non-Friable);Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics,Permit,1-4720-00634/00007,05/18/2017,05/17/2022,"19 Nancy Street
West Babylon, NY 11704
(40.735644, -73.374227)"
Westhampton Transfer Station,66 Old Country Road,,Westhampton,NY,11977,Suffolk,1,6312885236,Town of Southampton,Municipal,Transfer station - registration,[52R05R],Yes,695994,4522237,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Commingled Plastics;Waste Oil (Other),Registration,52R05R,12/31/1996,,"66 Old Country Road
Westhampton, NY 11977
(40.82683, -72.674996)"
Great Gardens LLC,445 Horseblock Road,,Yaphank,NY,11980,Suffolk,1,6312897312,Great Gardens LLC,Private,Transfer station - permit,[52T114],Yes,675400,4518900,4 - GIS Assisted,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Unadulterated);Yard Waste,Permit,1-4722-03647/00001,01/09/2017,10/23/2021,"445 Horseblock Road
Yaphank, NY 11980
(40.800247, -72.920251)"
Paumanok Environmental,88 Old Dock Road,,Yaphank,NY,11980,Suffolk,1,6317755900,Stanley Lomangino,Private,Transfer station - permit,[52W151],Yes,673424,4519761,,MSW (Residential/Institutional & Commercial),Permit,1-4722-05676-00001,09/09/2014,09/08/2019,"88 Old Dock Road
Yaphank, NY 11980
(40.811325, -72.943821)"
Winters Bros Waste Systems of LI LLC Yaphank TS,82A Old Dock Road,,Yaphank,NY,11980,Suffolk,1,,Progressive Waste Solutions of LI Inc,Private,Transfer station - permit,[52M13],Yes,673500,4520100,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),Permit,1-4722-00765/00004,,06/15/2014,"82A Old Dock Road
Yaphank, NY 11980
(40.811956, -72.943546)"
Sullivan County TS/MRF Monticello,132 Landfill Drive,,Monticello,NY,12701,Sullivan,3,8458070261,Sullivan County,County,Transfer station - permit,[53T01],Yes,527902,4610407,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Waste Tires;Corrugated Cardboard;Newspaper;Metals (Ferrous & Non-Ferrous);Electronics,Permit,3-4846-00079/00031,07/21/2011,05/06/2020,"132 Landfill Drive
Monticello, NY 12701"
Lang Industries Inc,67 Arena Court,,Narrowsburg,NY,12764,Sullivan,3,8452523000,Edward Lang,Private,Transfer station - permit,[53T09],Yes,497992,4604705,,Septage;Sewage Treatment Plant Sludge,Permit,3-4848-00033/000020,02/16/2005,12/31/2010,"67 Arena Court
Narrowsburg, NY 12764
(41.596571, -75.026093)"
Southern Tier Recyclers Apalachin,5730 State Route 434,,Apalachin,NY,13732,Tioga,7,6072580339,Robert Taylor,Private,Transfer station - permit,[54T03],Yes,403257,4659907,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),Application,7-4930-00252/00001,12/13/2017,03/18/2024,"5730 State Route
Apalachin, NY 13732"
Barton TS (Tioga Management Waste Facility),1216 Route 17C,,Barton,NY,13734,Tioga,7,6075658130,Robert Taylor,Private,Transfer station - permit,[54T94],Yes,378434,4654769,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires;Single Stream;Electronics;Metals (Ferrous & Non-Ferrous),Permit,,06/10/2014,06/09/2024,"1216 Route
Barton, NY 13734"
Taylor Transfer Station Owego,352 Glenmary Drive,,Owego,NY,13827,Tioga,7,6076876710,Robert Taylor,Private,Transfer station - permit,[54T02],Yes,392976,4661606,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires;Metals (Ferrous & Non-Ferrous),Permit,7-4936-00023/00001,09/27/2016,09/29/2026,"352 Glenmary Drive
Owego, NY 13827
(42.100279, -76.294566)"
Tompkins County Recycling and SW Center,160 Commercial Ave.,,Ithaca,NY,14850,Tompkins,7,6072732307,Tompkins County SWM Division,Municipal,Transfer station - permit,[55T01],Yes,375326,4698801,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Food Scraps;Corrugated Cardboard;Junk Mail;Office Paper;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics;Yard Waste;Waste Tires,Permit,7-5007-00073/00001,09/01/2019,08/31/2029,"160 Commercial Ave
Ithaca, NY 14850
(42.42424, -76.517909)"
Rochester            (T),100 Airport Road,,Accord,NY,12404,Ulster,3,8456265273,Town of Rochester,Municipal,Transfer station - registration,[56R08],Yes,565385,4628915,,,Registration,56R08,,,"100 Airport Road
Accord, NY 12404
(41.80865, -74.213557)"
Gardiner TS       (T),Steves Lane,,Gardiner,NY,12525,Ulster,3,9142559675,Town of Gardiner,Municipal,Transfer station - registration,[56R03],Yes,570340,4616194,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Glass;Commingled Plastics;Commingled Paper & Containers;Corrugated Cardboard,Registration,56R03,,,
Marbletown TS (T),Canal Road,,High Falls,NY,12440,Ulster,3,8456879891,Town of Marbletown,Municipal,Transfer station - registration,[56R10],Yes,571505,4630207,,MSW (Residential/Institutional & Commercial);White Goods,Registration,56R10,,,
UCRRA Ulster Transfer Station,999 Flatbush Road,,Kingston,NY,12401,Ulster,3,8453360600,Ulster County Resource Recovery Agency,County,Transfer station - permit,[56T05],Yes,585478,4647691,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Wood (Clean);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Single Stream;Electronics;Waste Tires,Permit,3-5154-00125/00001,08/15/2012,08/17/2019,"999 Flatbush Road
Kingston, NY 12401
(41.974711, -73.971089)"
Waste Management - Ulster Transfer Station,264 Old Flatbush Rd,,Kingston,NY,12401,Ulster,3,,Waste Management of NY,Private,Transfer station - permit,[56T06],Yes,584443,4644163,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream,Permit,3-5154-00081/00003,11/29/2018,11/28/2023,"264 Old Flatbush Rd
Kingston, NY 12401
(41.952777, -73.976381)"
Marlborough TS (T),Bailey Gap Road,,Milton,NY,12547,Ulster,3,8457952314,Town of Marlborough,Municipal,Transfer station - registration,[56R05],Yes,583246,4615829,,MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Commingled Paper & Containers;Corrugated Cardboard;Glass,Registration,56R05,,,
Plattekill TS (T),21-41 Venuto Road,,Modena,NY,12548,Ulster,3,8458836064,Town of Plattekill,Municipal,Transfer station - registration,[56R07],Yes,576341,4611736,,Metals (Ferrous & Non-Ferrous);MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Corrugated Cardboard;Junk Mail;Commingled Plastics;Electronics,Registration,56R07,,,"21 41 Venuto Road
Modena, NY 12548
(41.65281, -74.081887)"
UCRRA New Paltz Transfer Station,1 Clearwater Rd,,New Paltz,NY,12561,Ulster,3,8452556358,Public Benefit corp,County,Transfer station - permit,[56T03],Yes,578097,4626823,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Electronics;Waste Tires,Permit,3-5138-00089/00001,07/30/2009,07/29/2019,"1 Clearwater Rd
New Paltz, NY 12561
(41.791336, -74.068636)"
Olive TS (T),Beaverkill Road,,Olive,NY,12461,Ulster,3,9146578177,Town of Olive,Municipal,Transfer station - registration,[56R06],Yes,566288,4643165,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics,Registration,56R06,,,
Hurley TS          (T),1043 Dug Hill Road,,West Hurley,NY,12491,Ulster,3,8453384067,Town of Hurley,Municipal,Transfer station - registration,[56R04],Yes,574159,4642623,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Corrugated Cardboard;Glass;Metals (Ferrous & Non-Ferrous);Electronics;Waste Oil (Other),Registration,56R04,,,"1043 Dug Hill Road
West Hurley, NY 12491
(41.967836, -74.106776)"
Thurman Transfer Station,1 Erving Baker Road,,Athol,NY,12810,Warren,5,5186239649,Town of Thurman,Municipal,Transfer station - registration,[57R10],Yes,586072,4821340,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics,Registration,57M10,06/20/1996,,"1 Erving Baker Road
Athol, NY 12810
(43.516137, -73.900635)"
Stony Creek Transfer & Recycling Center,Hill Road,,Stony Creek,NY,12878,Warren,5,5186965602,Town of Stony Creek,Municipal,Transfer station - registration,[57R11],Yes,589351,4806501,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard;Magazines;Newspaper;Commingled Plastics,Registration,57R11,,,
Warrensburg Transfer Station,4067 Dump Rd,,Warrensburg,NY,12885,Warren,5,5186233096,Town of Warrensburg,Municipal,Transfer station - registration,[57R07],Yes,597799,4817645,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Magazines;Newspaper;Commingled Paper & Containers;White Goods;Metals (Ferrous & Non-Ferrous),Registration,57R07,,,"4067 Dump Rd
Warrensburg, NY 12885"
ALPCO Recycling Facility,846 Macedon Center Road,,Macedon,NY,14502,Wayne,8,3159868900,Alton Plumb,Private,Transfer station - permit,[59R03],Yes,309800,4774100,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial),Permit,8-5430-00061/00001,07/31/2017,07/30/2020,"846 Macedon Center Road
Macedon, NY 14502
(43.094251, -77.336345)"
K&D Disposal Inc,5076 Route 31,,Newark,NY,14513,Wayne,8,3155973889,K&D Disposal Inc,Private,Transfer station - registration,[59R14],Yes,322683,4767990,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Corrugated Cardboard,Registration,59R14,07/20/2001,,"5076 Route
Newark, NY 14513"
Ontario TS,6449 Furnace Road,,Ontario,NY,14519,Wayne,8,3155248111,Town of Ontario,Municipal,Transfer station - registration,[59R12],Yes,315130,4789196,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Waste Tires;Construction & Demolition Debris,Registration,59R12,01/27/1997,,"6449 Furnace Road
Ontario, NY 14519
(43.23192, -77.276637)"
Savannah (T) Rural TS,1717 N. Main Street,Town Highway Barn,Savannah,NY,13146,Wayne,8,3153652811,Town of Savannah,Municipal,Transfer station - registration,[59R07],Yes,356617,4770378,,One Day Annual Bulk Cleanup;Waste Tires;Metals (Ferrous & Non-Ferrous);MSW (Residential/Institutional & Commercial);Electronics,Registration,59R07,08/07/1998,,"1717 N Main Street
Savannah, NY 13146
(43.072325, -76.760415)"
Butler TS (T),4639 Butler Center Road,,Wolcott,NY,14590,Wayne,8,3155942719,Town of Butler,Municipal,Transfer station - registration,[59R09],Yes,355880,4780790,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires,Registration,59R09,03/03/1994,,"4639 Butler Center Road
Wolcott, NY 14590
(43.172112, -76.76974)"
Huron (T) Transfer,10880 Lummisville Road,,Wolcott,NY,14590,Wayne,8,3155942321,Town of Huron,Municipal,Transfer station - registration,[59R17],Yes,348340,4788700,4.2 - Utilization of GIS and existing spatial data,One Day Annual Bulk Cleanup;Waste Tires;MSW (Residential/Institutional & Commercial);Sludge (Industrial);Metals (Ferrous & Non-Ferrous);Electronics,Registration,59R17,05/03/2013,,"10880 Lummisville Road
Wolcott, NY 14590
(43.235988, -76.86775)"
Fred Cook,3226 Albany Post Road,,Buchanan,NY,10511,Westchester,3,9147393300,Brian Cook,Private,Transfer station - permit,[60T01],Yes,589126,4569116,,,Permit,3-5522-00288/00001,12/18/2012,12/18/2017,"3226 Albany Post Road
Buchanan, NY 10511
(41.267449, -73.936295)"
Westchester County Northern Tier Recyclables TS,167 Roa Hook Road,,Cortlandt,NY,10567,Westchester,3,9147370100,Westchester County,County,Transfer station - registration,[60R23],Yes,588160,4572422,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Commingled Paper & Containers,,,,,"167 Roa Hook Road
Cortlandt, NY 10567
(41.298036, -73.948388)"
Larchmont/Mamaroneck Joint Garbage Disposal Commission,41 Maxwell Avenue(location),740 West Boston Post Road(mailing),Mamaroneck,NY,10543,Westchester,3,9143817810,Town of Mamaroneck,Municipal,Transfer station - registration,[60R36],Yes,604102,4531983,,,Registration,60R36,,,"41 Maxwell Avenue
Mamaroneck, NY 10543
(40.93229, -73.763574)"
Mamaroneck TS (V),313 Fayette Avenue,,Mamaroneck,NY,10543-0369,Westchester,3,9147777745,Village of Mamaroneck,Municipal,Transfer station - registration,[60R05],Yes,605359,4533164,,Yard Waste,Registration,60R05,,,"313 Fayette Avenue
Mamaroneck, NY 10543-0369
(40.952271, -73.742738)"
Recycling Industries Transfer Station LLC (Covanta)(AWTS),306 Fayette Avenue,,Mamaroneck,NY,10543,Westchester,3,9733455339,Covanta,Private,Transfer station - permit,[60T13],Yes,605395,4533139,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous),Permit,3-5532-00104/00005,01/04/2013,01/04/2018,"306 Fayette Avenue
Mamaroneck, NY 10543
(40.952424, -73.742573)"
Westchester County South Columbus Ave TS,10 Kimball Place,Off So Columbus Ave,Mt. Vernon,NY,10550,Westchester,3,9146373067,Westchester County,County,Transfer station - permit,[60T19],Yes,599119,4528148,,MSW (Residential/Institutional & Commercial),Permit,3-5508-00140/00001-0,12/20/2007,12/19/2017,"10 Kimball Place
Mt Vernon, NY 10550
(40.89908, -73.820868)"
New Rochelle Leaf TS,85 Beechwood Ave,,New Rochelle,NY,10801,Westchester,3,9146542129,City of New Rochelle,Municipal,Transfer station - registration,[60R19],Yes,603779,4529858,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps),Registration,60R19,,,"85 Beechwood Ave
New Rochelle, NY 10801
(40.905658, -73.792286)"
Rye (C) DPW,141 Oakland Beach Avenue,,Rye,NY,10580,Westchester,3,9149677464,City of Rye,Municipal,Transfer station - registration,[60R13],Yes,612492,4535939,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps),Registration,60R13,,,"141 Oakland Beach Avenue
Rye, NY 10580
(40.963064, -73.69285)"
Somers Sanitation LLC,241 Route 100,,Somers,NY,10589,Westchester,3,9142327585,Lawrence Bria,Private,Transfer station - permit,[60T26],Yes,609133,4574000,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Single Stream;Yard Waste;Newspaper;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Concrete;Waste Tires,Permit,3-5552-00040-00005,05/24/2017,05/23/2022,"241 Route
Somers, NY 10589"
Westchester County Brockway Place Transfer Station,41 Brockway Place,,White Plains,NY,10601,Westchester,3,9143286536,Westchester County,County,Transfer station - permit,[60T16],Yes,604346,4543728,,MSW (Residential/Institutional & Commercial),Permit,3-5517-00130-00003,12/20/2007,12/19/2017,"41 Brockway Place
White Plains, NY 10601
(41.035445, -73.754604)"
